Date,Rate,Change
5/12/06,5.0000,0.0000
5/15/06,5.0000,0.0000
5/16/06,5.0000,0.0000
5/17/06,5.0000,0.0000
5/18/06,5.0000,0.0000
5/19/06,5.0000,0.0000
5/22/06,5.0000,0.0000
5/23/06,5.0000,0.0000
5/24/06,5.0000,0.0000
5/25/06,5.0000,0.0000
5/26/06,5.0000,0.0000
5/29/06,5.0000,0.0000
5/30/06,5.0000,0.0000
5/31/06,5.0000,0.0000
6/1/06,5.0000,0.0000
6/2/06,5.0000,0.0000
6/5/06,5.0000,0.0000
6/6/06,5.0000,0.0000
6/7/06,5.0000,0.0000
6/8/06,5.0000,0.0000
6/9/06,5.0000,0.0000
6/12/06,5.0000,0.0000
6/13/06,5.0000,0.0000
6/14/06,5.0000,0.0000
6/15/06,5.0000,0.0000
6/16/06,5.0000,0.0000
6/19/06,5.0000,0.0000
6/20/06,5.0000,0.0000
6/21/06,5.0000,0.0000
6/22/06,5.0000,0.0000
6/23/06,5.0000,0.0000
6/26/06,5.0000,0.0000
6/27/06,5.0000,0.0000
6/28/06,5.0000,0.0000
6/29/06,5.2500,0.2500
6/30/06,5.2500,0.0000
7/3/06,5.2500,0.0000
7/4/06,5.2500,0.0000
7/5/06,5.2500,0.0000
7/6/06,5.2500,0.0000
7/7/06,5.2500,0.0000
7/10/06,5.2500,0.0000
7/11/06,5.2500,0.0000
7/12/06,5.2500,0.0000
7/13/06,5.2500,0.0000
7/14/06,5.2500,0.0000
7/17/06,5.2500,0.0000
7/18/06,5.2500,0.0000
7/19/06,5.2500,0.0000
7/20/06,5.2500,0.0000
7/21/06,5.2500,0.0000
7/24/06,5.2500,0.0000
7/25/06,5.2500,0.0000
7/26/06,5.2500,0.0000
7/27/06,5.2500,0.0000
7/28/06,5.2500,0.0000
7/31/06,5.2500,0.0000
8/1/06,5.2500,0.0000
8/2/06,5.2500,0.0000
8/3/06,5.2500,0.0000
8/4/06,5.2500,0.0000
8/7/06,5.2500,0.0000
8/8/06,5.2500,0.0000
8/9/06,5.2500,0.0000
8/10/06,5.2500,0.0000
8/11/06,5.2500,0.0000
8/14/06,5.2500,0.0000
8/15/06,5.2500,0.0000
8/16/06,5.2500,0.0000
8/17/06,5.2500,0.0000
8/18/06,5.2500,0.0000
8/21/06,5.2500,0.0000
8/22/06,5.2500,0.0000
8/23/06,5.2500,0.0000
8/24/06,5.2500,0.0000
8/25/06,5.2500,0.0000
8/28/06,5.2500,0.0000
8/29/06,5.2500,0.0000
8/30/06,5.2500,0.0000
8/31/06,5.2500,0.0000
9/1/06,5.2500,0.0000
9/4/06,5.2500,0.0000
9/5/06,5.2500,0.0000
9/6/06,5.2500,0.0000
9/7/06,5.2500,0.0000
9/8/06,5.2500,0.0000
9/11/06,5.2500,0.0000
9/12/06,5.2500,0.0000
9/13/06,5.2500,0.0000
9/14/06,5.2500,0.0000
9/15/06,5.2500,0.0000
9/18/06,5.2500,0.0000
9/19/06,5.2500,0.0000
9/20/06,5.2500,0.0000
9/21/06,5.2500,0.0000
9/22/06,5.2500,0.0000
9/25/06,5.2500,0.0000
9/26/06,5.2500,0.0000
9/27/06,5.2500,0.0000
9/28/06,5.2500,0.0000
9/29/06,5.2500,0.0000
10/2/06,5.2500,0.0000
10/3/06,5.2500,0.0000
10/4/06,5.2500,0.0000
10/5/06,5.2500,0.0000
10/6/06,5.2500,0.0000
10/9/06,5.2500,0.0000
10/10/06,5.2500,0.0000
10/11/06,5.2500,0.0000
10/12/06,5.2500,0.0000
10/13/06,5.2500,0.0000
10/16/06,5.2500,0.0000
10/17/06,5.2500,0.0000
10/18/06,5.2500,0.0000
10/19/06,5.2500,0.0000
10/20/06,5.2500,0.0000
10/23/06,5.2500,0.0000
10/24/06,5.2500,0.0000
10/25/06,5.2500,0.0000
10/26/06,5.2500,0.0000
10/27/06,5.2500,0.0000
10/30/06,5.2500,0.0000
10/31/06,5.2500,0.0000
11/1/06,5.2500,0.0000
11/2/06,5.2500,0.0000
11/3/06,5.2500,0.0000
11/6/06,5.2500,0.0000
11/7/06,5.2500,0.0000
11/8/06,5.2500,0.0000
11/9/06,5.2500,0.0000
11/10/06,5.2500,0.0000
11/13/06,5.2500,0.0000
11/14/06,5.2500,0.0000
11/15/06,5.2500,0.0000
11/16/06,5.2500,0.0000
11/17/06,5.2500,0.0000
11/20/06,5.2500,0.0000
11/21/06,5.2500,0.0000
11/22/06,5.2500,0.0000
11/23/06,5.2500,0.0000
11/24/06,5.2500,0.0000
11/27/06,5.2500,0.0000
11/28/06,5.2500,0.0000
11/29/06,5.2500,0.0000
11/30/06,5.2500,0.0000
12/1/06,5.2500,0.0000
12/4/06,5.2500,0.0000
12/5/06,5.2500,0.0000
12/6/06,5.2500,0.0000
12/7/06,5.2500,0.0000
12/8/06,5.2500,0.0000
12/11/06,5.2500,0.0000
12/12/06,5.2500,0.0000
12/13/06,5.2500,0.0000
12/14/06,5.2500,0.0000
12/15/06,5.2500,0.0000
12/18/06,5.2500,0.0000
12/19/06,5.2500,0.0000
12/20/06,5.2500,0.0000
12/21/06,5.2500,0.0000
12/22/06,5.2500,0.0000
12/25/06,5.2500,0.0000
12/26/06,5.2500,0.0000
12/27/06,5.2500,0.0000
12/28/06,5.2500,0.0000
12/29/06,5.2500,0.0000
1/1/07,5.2500,0.0000
1/2/07,5.2500,0.0000
1/3/07,5.2500,0.0000
1/4/07,5.2500,0.0000
1/5/07,5.2500,0.0000
1/8/07,5.2500,0.0000
1/9/07,5.2500,0.0000
1/10/07,5.2500,0.0000
1/11/07,5.2500,0.0000
1/12/07,5.2500,0.0000
1/15/07,5.2500,0.0000
1/16/07,5.2500,0.0000
1/17/07,5.2500,0.0000
1/18/07,5.2500,0.0000
1/19/07,5.2500,0.0000
1/22/07,5.2500,0.0000
1/23/07,5.2500,0.0000
1/24/07,5.2500,0.0000
1/25/07,5.2500,0.0000
1/26/07,5.2500,0.0000
1/29/07,5.2500,0.0000
1/30/07,5.2500,0.0000
1/31/07,5.2500,0.0000
2/1/07,5.2500,0.0000
2/2/07,5.2500,0.0000
2/5/07,5.2500,0.0000
2/6/07,5.2500,0.0000
2/7/07,5.2500,0.0000
2/8/07,5.2500,0.0000
2/9/07,5.2500,0.0000
2/12/07,5.2500,0.0000
2/13/07,5.2500,0.0000
2/14/07,5.2500,0.0000
2/15/07,5.2500,0.0000
2/16/07,5.2500,0.0000
2/19/07,5.2500,0.0000
2/20/07,5.2500,0.0000
2/21/07,5.2500,0.0000
2/22/07,5.2500,0.0000
2/23/07,5.2500,0.0000
2/26/07,5.2500,0.0000
2/27/07,5.2500,0.0000
2/28/07,5.2500,0.0000
3/1/07,5.2500,0.0000
3/2/07,5.2500,0.0000
3/5/07,5.2500,0.0000
3/6/07,5.2500,0.0000
3/7/07,5.2500,0.0000
3/8/07,5.2500,0.0000
3/9/07,5.2500,0.0000
3/12/07,5.2500,0.0000
3/13/07,5.2500,0.0000
3/14/07,5.2500,0.0000
3/15/07,5.2500,0.0000
3/16/07,5.2500,0.0000
3/19/07,5.2500,0.0000
3/20/07,5.2500,0.0000
3/21/07,5.2500,0.0000
3/22/07,5.2500,0.0000
3/23/07,5.2500,0.0000
3/26/07,5.2500,0.0000
3/27/07,5.2500,0.0000
3/28/07,5.2500,0.0000
3/29/07,5.2500,0.0000
3/30/07,5.2500,0.0000
4/2/07,5.2500,0.0000
4/3/07,5.2500,0.0000
4/4/07,5.2500,0.0000
4/5/07,5.2500,0.0000
4/6/07,5.2500,0.0000
4/9/07,5.2500,0.0000
4/10/07,5.2500,0.0000
4/11/07,5.2500,0.0000
4/12/07,5.2500,0.0000
4/13/07,5.2500,0.0000
4/16/07,5.2500,0.0000
4/17/07,5.2500,0.0000
4/18/07,5.2500,0.0000
4/19/07,5.2500,0.0000
4/20/07,5.2500,0.0000
4/23/07,5.2500,0.0000
4/24/07,5.2500,0.0000
4/25/07,5.2500,0.0000
4/26/07,5.2500,0.0000
4/27/07,5.2500,0.0000
4/30/07,5.2500,0.0000
5/1/07,5.2500,0.0000
5/2/07,5.2500,0.0000
5/3/07,5.2500,0.0000
5/4/07,5.2500,0.0000
5/7/07,5.2500,0.0000
5/8/07,5.2500,0.0000
5/9/07,5.2500,0.0000
5/10/07,5.2500,0.0000
5/11/07,5.2500,0.0000
5/14/07,5.2500,0.0000
5/15/07,5.2500,0.0000
5/16/07,5.2500,0.0000
5/17/07,5.2500,0.0000
5/18/07,5.2500,0.0000
5/21/07,5.2500,0.0000
5/22/07,5.2500,0.0000
5/23/07,5.2500,0.0000
5/24/07,5.2500,0.0000
5/25/07,5.2500,0.0000
5/28/07,5.2500,0.0000
5/29/07,5.2500,0.0000
5/30/07,5.2500,0.0000
5/31/07,5.2500,0.0000
6/1/07,5.2500,0.0000
6/4/07,5.2500,0.0000
6/5/07,5.2500,0.0000
6/6/07,5.2500,0.0000
6/7/07,5.2500,0.0000
6/8/07,5.2500,0.0000
6/11/07,5.2500,0.0000
6/12/07,5.2500,0.0000
6/13/07,5.2500,0.0000
6/14/07,5.2500,0.0000
6/15/07,5.2500,0.0000
6/18/07,5.2500,0.0000
6/19/07,5.2500,0.0000
6/20/07,5.2500,0.0000
6/21/07,5.2500,0.0000
6/22/07,5.2500,0.0000
6/25/07,5.2500,0.0000
6/26/07,5.2500,0.0000
6/27/07,5.2500,0.0000
6/28/07,5.2500,0.0000
6/29/07,5.2500,0.0000
7/2/07,5.2500,0.0000
7/3/07,5.2500,0.0000
7/4/07,5.2500,0.0000
7/5/07,5.2500,0.0000
7/6/07,5.2500,0.0000
7/9/07,5.2500,0.0000
7/10/07,5.2500,0.0000
7/11/07,5.2500,0.0000
7/12/07,5.2500,0.0000
7/13/07,5.2500,0.0000
7/16/07,5.2500,0.0000
7/17/07,5.2500,0.0000
7/18/07,5.2500,0.0000
7/19/07,5.2500,0.0000
7/20/07,5.2500,0.0000
7/23/07,5.2500,0.0000
7/24/07,5.2500,0.0000
7/25/07,5.2500,0.0000
7/26/07,5.2500,0.0000
7/27/07,5.2500,0.0000
7/30/07,5.2500,0.0000
7/31/07,5.2500,0.0000
8/1/07,5.2500,0.0000
8/2/07,5.2500,0.0000
8/3/07,5.2500,0.0000
8/6/07,5.2500,0.0000
8/7/07,5.2500,0.0000
8/8/07,5.2500,0.0000
8/9/07,5.2500,0.0000
8/10/07,5.2500,0.0000
8/13/07,5.2500,0.0000
8/14/07,5.2500,0.0000
8/15/07,5.2500,0.0000
8/16/07,5.2500,0.0000
8/17/07,5.2500,0.0000
8/20/07,5.2500,0.0000
8/21/07,5.2500,0.0000
8/22/07,5.2500,0.0000
8/23/07,5.2500,0.0000
8/24/07,5.2500,0.0000
8/27/07,5.2500,0.0000
8/28/07,5.2500,0.0000
8/29/07,5.2500,0.0000
8/30/07,5.2500,0.0000
8/31/07,5.2500,0.0000
9/3/07,5.2500,0.0000
9/4/07,5.2500,0.0000
9/5/07,5.2500,0.0000
9/6/07,5.2500,0.0000
9/7/07,5.2500,0.0000
9/10/07,5.2500,0.0000
9/11/07,5.2500,0.0000
9/12/07,5.2500,0.0000
9/13/07,5.2500,0.0000
9/14/07,5.2500,0.0000
9/17/07,5.2500,0.0000
9/18/07,4.7500,-0.5000
9/19/07,4.7500,0.0000
9/20/07,4.7500,0.0000
9/21/07,4.7500,0.0000
9/24/07,4.7500,0.0000
9/25/07,4.7500,0.0000
9/26/07,4.7500,0.0000
9/27/07,4.7500,0.0000
9/28/07,4.7500,0.0000
10/1/07,4.7500,0.0000
10/2/07,4.7500,0.0000
10/3/07,4.7500,0.0000
10/4/07,4.7500,0.0000
10/5/07,4.7500,0.0000
10/8/07,4.7500,0.0000
10/9/07,4.7500,0.0000
10/10/07,4.7500,0.0000
10/11/07,4.7500,0.0000
10/12/07,4.7500,0.0000
10/15/07,4.7500,0.0000
10/16/07,4.7500,0.0000
10/17/07,4.7500,0.0000
10/18/07,4.7500,0.0000
10/19/07,4.7500,0.0000
10/22/07,4.7500,0.0000
10/23/07,4.7500,0.0000
10/24/07,4.7500,0.0000
10/25/07,4.7500,0.0000
10/26/07,4.7500,0.0000
10/29/07,4.7500,0.0000
10/30/07,4.7500,0.0000
10/31/07,4.5000,-0.2500
11/1/07,4.5000,0.0000
11/2/07,4.5000,0.0000
11/5/07,4.5000,0.0000
11/6/07,4.5000,0.0000
11/7/07,4.5000,0.0000
11/8/07,4.5000,0.0000
11/9/07,4.5000,0.0000
11/12/07,4.5000,0.0000
11/13/07,4.5000,0.0000
11/14/07,4.5000,0.0000
11/15/07,4.5000,0.0000
11/16/07,4.5000,0.0000
11/19/07,4.5000,0.0000
11/20/07,4.5000,0.0000
11/21/07,4.5000,0.0000
11/22/07,4.5000,0.0000
11/23/07,4.5000,0.0000
11/26/07,4.5000,0.0000
11/27/07,4.5000,0.0000
11/28/07,4.5000,0.0000
11/29/07,4.5000,0.0000
11/30/07,4.5000,0.0000
12/3/07,4.5000,0.0000
12/4/07,4.5000,0.0000
12/5/07,4.5000,0.0000
12/6/07,4.5000,0.0000
12/7/07,4.5000,0.0000
12/10/07,4.5000,0.0000
12/11/07,4.2500,-0.2500
12/12/07,4.2500,0.0000
12/13/07,4.2500,0.0000
12/14/07,4.2500,0.0000
12/17/07,4.2500,0.0000
12/18/07,4.2500,0.0000
12/19/07,4.2500,0.0000
12/20/07,4.2500,0.0000
12/21/07,4.2500,0.0000
12/24/07,4.2500,0.0000
12/25/07,4.2500,0.0000
12/26/07,4.2500,0.0000
12/27/07,4.2500,0.0000
12/28/07,4.2500,0.0000
12/31/07,4.2500,0.0000
1/1/08,4.2500,0.0000
1/2/08,4.2500,0.0000
1/3/08,4.2500,0.0000
1/4/08,4.2500,0.0000
1/7/08,4.2500,0.0000
1/8/08,4.2500,0.0000
1/9/08,4.2500,0.0000
1/10/08,4.2500,0.0000
1/11/08,4.2500,0.0000
1/14/08,4.2500,0.0000
1/15/08,4.2500,0.0000
1/16/08,4.2500,0.0000
1/17/08,4.2500,0.0000
1/18/08,4.2500,0.0000
1/21/08,4.2500,0.0000
1/22/08,3.5000,-0.7500
1/23/08,3.5000,0.0000
1/24/08,3.5000,0.0000
1/25/08,3.5000,0.0000
1/28/08,3.5000,0.0000
1/29/08,3.5000,0.0000
1/30/08,3.0000,-0.5000
1/31/08,3.0000,0.0000
2/1/08,3.0000,0.0000
2/4/08,3.0000,0.0000
2/5/08,3.0000,0.0000
2/6/08,3.0000,0.0000
2/7/08,3.0000,0.0000
2/8/08,3.0000,0.0000
2/11/08,3.0000,0.0000
2/12/08,3.0000,0.0000
2/13/08,3.0000,0.0000
2/14/08,3.0000,0.0000
2/15/08,3.0000,0.0000
2/18/08,3.0000,0.0000
2/19/08,3.0000,0.0000
2/20/08,3.0000,0.0000
2/21/08,3.0000,0.0000
2/22/08,3.0000,0.0000
2/25/08,3.0000,0.0000
2/26/08,3.0000,0.0000
2/27/08,3.0000,0.0000
2/28/08,3.0000,0.0000
2/29/08,3.0000,0.0000
3/3/08,3.0000,0.0000
3/4/08,3.0000,0.0000
3/5/08,3.0000,0.0000
3/6/08,3.0000,0.0000
3/7/08,3.0000,0.0000
3/10/08,3.0000,0.0000
3/11/08,3.0000,0.0000
3/12/08,3.0000,0.0000
3/13/08,3.0000,0.0000
3/14/08,3.0000,0.0000
3/17/08,3.0000,0.0000
3/18/08,2.2500,-0.7500
3/19/08,2.2500,0.0000
3/20/08,2.2500,0.0000
3/21/08,2.2500,0.0000
3/24/08,2.2500,0.0000
3/25/08,2.2500,0.0000
3/26/08,2.2500,0.0000
3/27/08,2.2500,0.0000
3/28/08,2.2500,0.0000
3/31/08,2.2500,0.0000
4/1/08,2.2500,0.0000
4/2/08,2.2500,0.0000
4/3/08,2.2500,0.0000
4/4/08,2.2500,0.0000
4/7/08,2.2500,0.0000
4/8/08,2.2500,0.0000
4/9/08,2.2500,0.0000
4/10/08,2.2500,0.0000
4/11/08,2.2500,0.0000
4/14/08,2.2500,0.0000
4/15/08,2.2500,0.0000
4/16/08,2.2500,0.0000
4/17/08,2.2500,0.0000
4/18/08,2.2500,0.0000
4/21/08,2.2500,0.0000
4/22/08,2.2500,0.0000
4/23/08,2.2500,0.0000
4/24/08,2.2500,0.0000
4/25/08,2.2500,0.0000
4/28/08,2.2500,0.0000
4/29/08,2.2500,0.0000
4/30/08,2.0000,-0.2500
5/1/08,2.0000,0.0000
5/2/08,2.0000,0.0000
5/5/08,2.0000,0.0000
5/6/08,2.0000,0.0000
5/7/08,2.0000,0.0000
